,everyday,quantity,forecast_quantity
0,2022-10-01,8760.0,
1,2022-10-02,9720.0,
2,2022-10-03,11820.0,
3,2022-10-04,12720.0,
4,2022-10-05,11880.0,
5,2022-10-06,11520.0,
6,2022-10-07,8460.0,
7,2022-10-08,12120.0,
8,2022-10-09,12000.0,
9,2022-10-10,10800.0,
10,2022-10-11,8820.0,
11,2022-10-12,8700.0,
12,2022-10-13,9600.0,
13,2022-10-14,9180.0,
14,2022-10-15,10260.0,
15,2022-10-16,10560.0,
16,2022-10-17,10200.0,
17,2022-10-18,9480.0,
18,2022-10-19,10140.0,
19,2022-10-20,9480.0,
20,2022-10-21,10200.0,
21,2022-10-22,10620.0,
22,2022-10-23,12180.0,
23,2022-10-24,12480.0,
24,2022-10-25,13920.0,
25,2022-10-26,10320.0,
26,2022-10-27,12300.0,
27,2022-10-28,9900.0,
28,2022-10-29,9600.0,
29,2022-10-30,8760.0,
30,2022-10-31,10560.0,
31,2022-11-01,9420.0,
32,2022-11-02,10680.0,
33,2022-11-03,9060.0,
34,2022-11-04,10320.0,
35,2022-11-05,10140.0,
36,2022-11-06,11640.0,
37,2022-11-07,9540.0,
38,2022-11-08,11340.0,
39,2022-11-09,9240.0,
40,2022-11-10,10860.0,
41,2022-11-11,8400.0,
42,2022-11-12,10740.0,
43,2022-11-13,9540.0,
44,2022-11-14,11400.0,
45,2022-11-15,8880.0,
46,2022-11-16,10920.0,
47,2022-11-17,7920.0,
48,2022-11-18,10980.0,
49,2022-11-19,9840.0,
50,2022-11-20,9660.0,
51,2022-11-21,9840.0,
52,2022-11-22,9720.0,
53,2022-11-23,9480.0,
54,2022-11-24,9120.0,
55,2022-11-25,9120.0,
56,2022-11-26,11400.0,
57,2022-11-27,9360.0,
58,2022-11-28,11580.0,
59,2022-11-29,9960.0,
60,2022-11-30,11040.0,
61,2022-12-01,9660.0,
62,2022-12-02,11340.0,
63,2022-12-03,10620.0,
64,2022-12-04,11820.0,
65,2022-12-05,10800.0,
66,2022-12-06,11700.0,
67,2022-12-07,9420.0,
68,2022-12-08,9960.0,
69,2022-12-09,8220.0,
70,2022-12-10,10080.0,
71,2022-12-11,7860.0,
72,2022-12-12,7020.0,
73,2022-12-13,7320.0,
74,2022-12-14,8220.0,
75,2022-12-15,8220.0,
76,2022-12-16,9480.0,
77,2022-12-17,9960.0,
78,2022-12-18,10980.0,
79,2022-12-19,10140.0,
80,2022-12-20,10860.0,
81,2022-12-21,8760.0,
82,2022-12-22,12000.0,
83,2022-12-23,10320.0,
84,2022-12-24,9900.0,
85,2022-12-25,9720.0,
86,2022-12-26,10620.0,
87,2022-12-27,10140.0,
88,2022-12-28,10560.0,
89,2022-12-29,10140.0,
90,2022-12-30,11940.0,
91,2022-12-31,12420.0,
92,2023-01-01,11580.0,
93,2023-01-02,12420.0,
94,2023-01-03,11700.0,
95,2023-01-04,10560.0,
96,2023-01-05,11280.0,
97,2023-01-06,10560.0,
98,2023-01-07,11820.0,
99,2023-01-08,10200.0,
100,2023-01-09,11100.0,
101,2023-01-10,9300.0,
102,2023-01-11,9120.0,
103,2023-01-12,9180.0,
104,2023-01-13,11820.0,
105,2023-01-14,12060.0,
106,2023-01-15,13140.0,
107,2023-01-16,10560.0,
108,2023-01-17,10680.0,
109,2023-01-18,9240.0,
110,2023-01-19,10200.0,
111,2023-01-20,9600.0,
112,2023-01-21,11160.0,
113,2023-01-22,10380.0,
114,2023-01-23,11400.0,
115,2023-01-24,10080.0,
116,2023-01-25,11580.0,
117,2023-01-26,11040.0,
118,2023-01-27,10680.0,
119,2023-01-28,12060.0,
120,2023-01-29,12180.0,
121,2023-01-30,11880.0,
122,2023-01-31,13140.0,
123,2023-02-01,12240.0,
124,2023-02-02,11280.0,
125,2023-02-03,10740.0,
126,2023-02-04,15720.0,
127,2023-02-05,13500.0,
128,2023-02-06,15120.0,
129,2023-02-07,13680.0,
130,2023-02-08,13140.0,
131,2023-02-09,13380.0,
132,2023-02-10,13680.0,
133,2023-02-11,13560.0,
134,2023-02-12,14700.0,
135,2023-02-13,13920.0,
136,2023-02-14,14760.0,
137,2023-02-15,13020.0,
138,2023-02-16,14280.0,
139,2023-02-17,12720.0,
140,2023-02-18,16560.0,
141,2023-02-19,17400.0,
142,2023-02-20,15300.0,
143,2023-02-21,12720.0,
144,2023-02-22,12780.0,
145,2023-02-23,12240.0,
146,2023-02-24,13560.0,
147,2023-02-25,11940.0,
148,2023-02-26,14400.0,
149,2023-02-27,15660.0,
150,2023-02-28,13860.0,
151,2023-03-01,13980.0,
152,2023-03-02,13860.0,
153,2023-03-03,12960.0,
154,2023-03-04,14400.0,
155,2023-03-05,12900.0,
156,2023-03-06,15180.0,
157,2023-03-07,14400.0,
158,2023-03-08,12840.0,
159,2023-03-09,12360.0,
160,2023-03-10,12480.0,
161,2023-03-11,13260.0,
162,2023-03-12,14220.0,
163,2023-03-13,12540.0,
164,2023-03-14,14520.0,
165,2023-03-15,12780.0,
166,2023-03-16,13440.0,
167,2023-03-17,13140.0,
168,2023-03-18,13980.0,
169,2023-03-19,13920.0,
170,2023-03-20,14280.0,
171,2023-03-21,15540.0,
172,2023-03-22,14940.0,
173,2023-03-23,13200.0,
174,2023-03-24,13620.0,
175,2023-03-25,14340.0,
176,2023-03-26,15000.0,
177,2023-03-27,16440.0,
178,2023-03-28,14640.0,
179,2023-03-29,16260.0,
180,2023-03-30,16140.0,
181,2023-03-31,16980.0,
182,2023-04-01,15240.0,
183,2023-04-02,15420.0,
184,2023-04-03,15360.0,
185,2023-04-04,16020.0,
186,2023-04-05,15900.0,
187,2023-04-06,16680.0,
188,2023-04-07,15240.0,
189,2023-04-08,14280.0,
190,2023-04-09,15420.0,
191,2023-04-10,16740.0,
192,2023-04-11,16920.0,
193,2023-04-12,17880.0,
194,2023-04-13,17340.0,
195,2023-04-14,18420.0,
196,2023-04-15,17100.0,
197,2023-04-16,17580.0,
198,2023-04-17,16800.0,
199,2023-04-18,18300.0,
200,2023-04-19,18780.0,
202,2023-04-22,17460.0,
203,2023-04-23,18120.0,
204,2023-04-24,15720.0,
205,2023-04-25,15960.0,
206,2023-04-26,17040.0,
207,2023-04-27,14220.0,
208,2023-04-28,16020.0,
209,2023-04-29,14400.0,
210,2023-04-30,16740.0,
211,2023-05-01,13860.0,
212,2023-05-02,15960.0,
213,2023-05-03,16140.0,
214,2023-05-04,14640.0,
