ChartId,RateDate,Type,CurrentChart,RateChartName
1,01-04-2017,CM Rate   ,0,Gokul1
2,01-04-2017,BM Rate   ,0,Gokul1
3,21-06-2017,CM Rate   ,0,Gokul1
4,01-09-2017,CM Rate   ,0,Mangsuli
5,01-09-2017,BM Rate   ,0,Mangsuli
6,01-11-2017,CM Rate   ,0,Gokul1
7,01-11-2017,CM Rate   ,0,Mangsuli
8,21-12-2017,CM Rate   ,0,Mangsuli
9,01-04-2018,CM Rate   ,0,Pandharpur
10,21-11-2017,BM Rate   ,0,Pandharpur
11,01-06-2018,CM Rate   ,0,Gokul1
12,11-06-2018,CM Rate   ,0,Mangsuli
13,11-06-2018,CM Rate   ,0,Pandharpur
16,01-08-2018,CM Rate   ,0,Gokul1
15,01-08-2018,CM Rate   ,0,Mangsuli
17,01-08-2018,BM Rate   ,1,Gokul1
18,01-08-2018,BM Rate   ,0,Mangsuli
19,01-08-2018,BM Rate   ,0,Pandharpur
21,01-08-2018,CM Rate   ,0,Pandharpur
22,11-09-2018,CM Rate   ,0,Pandharpur
23,11-09-2018,BM Rate   ,1,Pandharpur
24,11-09-2018,CM Rate   ,0,Pandharpur
25,21-09-2018,CM Rate   ,0,Pandharpur
26,11-10-2018,CM Rate   ,0,Pandharpur
27,21-10-2017,BM Rate   ,0,Mangsuli
28,01-11-2018,CM Rate   ,0,Pandharpur
29,01-11-2018,CM Rate   ,0,Pandharpur
30,01-11-2018,CM Rate   ,0,Pandharpur
31,01-12-2018,BM Rate   ,0,Mangsuli
32,01-12-2018,BM Rate   ,0,Mangsuli
33,01-12-2018,CM Rate   ,0,Gokul1
34,01-04-2019,CM Rate   ,0,Pandharpur
35,01-05-2019,CM Rate   ,0,Pandharpur
36,01-06-2019,CM Rate   ,0,Gokul1
37,21-06-2019,CM Rate   ,0,Pandharpur
38,21-06-2019,CM Rate   ,1,Pandharpur
39,01-07-2019,BM Rate   ,1,Mangsuli
40,01-07-2019,CM Rate   ,1,Mangsuli
41,01-10-2019,CM Rate   ,0,Gokul1
42,21-02-2019,CM Rate   ,0,Sumul
43,21-02-2020,CM Rate   ,0,Sumul
44,21-02-2020,BM Rate   ,0,Sumul
45,21-02-2020,CM Rate   ,1,Sumul1
46,21-02-2020,BM Rate   ,1,Sumul1
47,21-02-2020,CM Rate   ,1,Sumul2
48,21-02-2020,BM Rate   ,1,Sumul2
49,01-04-2020,CM Rate   ,0,Sumul
50,01-04-2020,BM Rate   ,0,Sumul
51,11-04-2020,CM Rate   ,0,Sumul
52,11-04-2020,BM Rate   ,0,Sumul
53,01-05-2020,CM Rate   ,0,Gokul1
54,01-05-2020,CM Rate   ,0,Sumul
55,01-05-2020,BM Rate   ,0,Sumul
56,07-05-2020,CM Rate   ,0,Sumul
57,16-05-2020,CM Rate   ,0,Sumul
58,01-06-2020,BM Rate   ,0,Sumul
59,21-06-2020,CM Rate   ,0,Sumul
60,21-06-2020,BM Rate   ,0,Sumul
61,11-08-2020,CM Rate   ,0,Sumul
62,12-10-2020,CM Rate   ,0,Sumul
63,12-10-2020,BM Rate   ,0,Sumul
64,01-11-2020,CM Rate   ,0,Sumul
65,01-01-2021,CM Rate   ,0,Sumul
66,01-01-2021,BM Rate   ,0,Sumul
67,01-02-2021,CM Rate   ,0,Sumul
68,11-02-2021,CM Rate   ,0,Sumul
69,11-05-2021,CM Rate   ,0,Sumul
70,01-06-2021,CM Rate   ,0,Sumul
71,23-07-2021,CM Rate   ,0,Sumul
72,23-07-2021,BM Rate   ,0,Sumul
73,11-02-2022,CM Rate   ,0,Sumul
74,19-02-2022,BM Rate   ,0,Sumul
75,01-03-2022,CM Rate   ,0,Sumul
76,01-03-2022,BM Rate   ,0,Sumul
77,16-03-2022,BM Rate   ,0,Sumul
78,01-04-2022,CM Rate   ,0,Sumul
79,01-04-2022,BM Rate   ,0,Sumul
80,06-05-2022,CM Rate   ,0,Sumul
81,01-08-2022,BM Rate   ,0,Sumul
82,01-09-2022,CM Rate   ,0,Sumul
83,11-09-2022,CM Rate   ,0,Sumul
84,11-09-2022,BM Rate   ,0,Sumul
85,21-02-2023,CM Rate   ,0,Sumul
86,21-02-2023,BM Rate   ,0,Sumul
87,16-05-2023,CM Rate   ,0,Sumul
88,13-06-2023,CM Rate   ,0,Sumul
89,21-07-2023,CM Rate   ,0,Sumul
90,21-07-2023,BM Rate   ,0,Sumul
91,01-10-2023,CM Rate   ,0,Sumul
92,01-10-2023,BM Rate   ,0,Sumul
93,15-11-2023,BM Rate   ,1,Sumul
94,04-12-2023,CM Rate   ,1,Sumul
20,01-08-2018,CM Rate   ,0,Pandharpur
